,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
0,Afghanistan,,2020-03-30,0.20188296935064126,42.87071978504831,12.085957944434133,0.3723677823316867,0.25,2.9342195974806877,3.718605975696051,0.5816411704086315,5.0,13.170871081040826,0.29273637934433905,0.7356572418784728
1,Albania,,2020-03-25,0.23009881180239786,93.36286842059577,14.058399895013727,0.02,0.05355231827126365,4.5136641938008975,1.105932750983552,2.9025236133223418,4.999057526962183,9.607748920932455,1.4385491695839836,0.2855308974246699
2,Algeria,,2020-03-22,0.41358328071045697,70.76995902359951,2.6848992872263238,0.49761895873905243,0.010843842305122676,1.6820801380076273,0.0011568465828552844,0.6927784716396354,4.999907664393505,145.86344782343846,79.61160395618123,1.4834029799477597
3,American Samoa,,2022-03-01,1.0955686809863376,0.0,15.0,0.024895362808598612,0.25,4.9912140345139235,4.998796891615527,0.25882258444524453,5.0,11.308731349770989,0.7353686463443182,0.5332796407279524
4,Andorra,,2020-03-22,0.1,0.0,15.0,0.02000254470775581,0.02472444478992832,4.999954393842402,1.1283313365800756,0.42182405687435043,3.3731761166213587,253.02267843141158,30.30733891580514,2.0
5,Angola,,2020-06-11,0.3056972336755296,99.99199606707394,14.999999662227644,0.5,0.10662281287296889,5.0,0.001,0.4356984808514583,5.0,244.3966939565814,100.0,0.5742151937987925
6,Anguilla,,2021-05-12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7,Antigua and Barbuda,,2020-09-28,0.1,0.0,15.0,0.2816999016917833,0.01,-0.13161892307667483,0.6848530997968774,0.001,1.2935559835611823,229.87490428961735,25.793404262717978,0.2
8,Argentina,,2020-03-13,0.43170141956592645,80.05224083514909,10.293307249038348,0.02,0.025758563549530485,5.0,4.490316033737298,0.001,0.785264988616392,279.67518541536924,1.32125142571268,1.0532666971644975
9,Armenia,,2020-03-19,0.5566792934158936,8.359150868525166,7.839951337566482,0.020000695002903315,0.0564626074863912,4.883584723085635,1.5402182650205354,0.45106980779929523,1.9153988017861607,177.8872233851651,15.085351624292903,0.8904910259923797
10,Aruba,,2020-05-06,0.1,0.0,15.0,0.02,0.01,5.0,0.001,0.001,1.5956634730100632,177.6756292283535,7.718892016876884,0.2
11,Australia,,2020-03-12,1.3390511962534848,1.9313560956583493,10.475260696989514,0.02,0.030384399445660272,4.999931994345953,4.1988777221808204,1.709387236831583,2.6788010752333324,19.89187922362094,8.63465977020328,0.4248919861360622
12,Austria,,2020-03-10,0.1,0.0,15.0,0.46795763461879675,0.25,3.6570175737694024,4.999884391056314,1.667521717708846,0.724585197343341,268.15380197766285,32.26824912209876,1.883462783396965
13,Azerbaijan,,2020-03-28,0.27294807330506793,74.8601512791945,13.340672477037694,0.1378339786269227,0.10190070573000233,4.066521467881123,4.552668657479907,0.3783271400241782,4.646098095527939,11.858560079353945,0.12500423053159296,0.7850884247523138
14,Bahamas,,2020-05-30,0.1,0.0,15.0,0.021970998350131356,0.07242472427135863,1.6042129564544818,0.04340190372426368,0.010197382989568448,0.8696253072159956,240.19893379323184,35.46962529995133,0.5480890950941367
15,Bahrain,,2020-03-10,0.19865004377068596,88.53884489324476,1.0,0.5,0.25,-0.14977831539661038,0.001,4.410201524375728,5.0,9.648369986796462,2.2898465862662754,0.20028197890648503
16,Bangladesh,,2020-04-06,0.6255230027374326,9.929551451648479,15.0,0.5,0.25,1.7092162211309867,4.134971820289773,0.0027959632000723947,0.1107283851255021,113.35420025782275,11.9116218573888,1.9298270398937172
17,Barbados,,2020-07-13,0.511743039318724,30.4748150908549,1.0000003146224548,0.028528184008986122,0.010664265799726451,3.9998713445016443,0.005829526473764995,0.04356662121360057,3.841239324770868,168.98225671052933,23.30437271175059,0.28640869093602805
18,Belarus,,2020-03-31,1.2210707066470532,8.594176019098805,15.0,0.02000155561085414,0.10375857791963625,3.382714897457822,0.01522584081436741,1.3358189003756709,0.5167195801760123,296.2297346706383,36.400851649089994,0.6153804262430622
19,Belgium,,2020-03-06,0.40050868255569294,79.337199073018,8.2098127567506,0.02,0.07877893111419443,0.756998341603326,4.485765413286637,0.00809838940350701,4.999999999688935,26.050420894757753,9.645834570705986,1.9711878077381284
20,Belize,,2020-08-08,0.5310234848345441,3.538300136041241,15.0,0.22627678685512936,0.24969967043425562,4.758177222875376,4.4970818847467,0.0018073295987711927,1.9861922816485276,163.81846002946486,18.354167550543117,0.819286563315166
21,Benin,,2020-05-10,0.1,1.046642171918121e-06,15.0,0.3032399277889686,0.03181296205525341,3.6462089342522064,0.5136918419617259,0.5459300788670344,4.09636615185228,109.32283936353338,4.521735355579514,0.2896064766322875
22,Bermuda,,2020-04-27,0.1715047678463183,4.04524016899222,14.261618607966358,0.02,0.010568744600891838,4.999999891637609,0.3030086625772096,0.11956107443344435,0.0020006876929772027,248.4189546185033,50.91467001916633,0.201183996015216
23,Bhutan,,2020-07-29,0.4416264659803208,14.612990089776993,1.4288265816737515,0.36664244499369886,0.12750472910208674,1.6959107935550386,0.3797513151163574,0.001,5.0,12.787724590122744,0.37768146297270844,0.20000334795413297
24,Bolivia,,2020-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
25,Bosnia and Herzegovina,,2020-03-22,0.1476419588345892,99.99446921927037,10.938715554587116,0.39769099892858567,0.25,2.343862661421886,1.4242798785754767,0.044230838194563554,5.0,168.40763864379682,97.95880497699096,1.9963262211227668
26,Botswana,,2020-06-25,0.1387563861364425,2.958849738963859,15.0,0.02,0.01602501470128559,4.999938543035016,2.21091271538348,0.001,4.482866476382036,95.82377537550673,10.047822104435502,0.9102341455858407
27,Brazil,,2020-03-16,1.5,5.078200223239821,15.0,0.46649596144097,0.22129600838797214,4.9992037328980015,4.999463829087942,0.001,1.467204600140306,296.2725949993992,8.995027901466008,1.4456063787498312
28,British Virgin Islands,,2021-01-06,0.4332602347078376,0.17603134794125527,1.0,0.02279719114627292,0.010859198293379979,3.8188792561309746,0.3093882986698094,0.14750391386333628,0.39465284675982104,170.06014699167625,31.789147502555302,0.2
29,Brunei,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
30,Bulgaria,,2020-03-22,0.17998390625833507,44.64567347709836,4.177696361646029,0.16501709002606865,0.23315049490767956,1.991427475147991,2.336656975609622,0.9374015642629681,1.0051023717681333,116.0447209612869,33.91781997998624,0.4003281338700027
31,Burkina Faso,,2020-03-24,0.13589634936903985,99.99968775305183,7.419954912788845,0.02,0.02000396703322359,4.999452010034558,0.001425805718534177,1.185251039760432,5.0,109.55857590591553,74.20823414298944,0.7892369925482376
32,Burundi,,2020-06-16,0.1,0.0,1.0,0.5,0.25,4.99986644130585,0.9771068024520673,1.0770883950737544,4.99986165876215,82.58871601574491,23.108491399279718,0.2968657891685893
33,Cambodia,,2020-03-29,0.149127681227087,0.0008734932886444644,1.0,0.020767057716967977,0.010185847262295567,4.963704138654411,0.001,0.5521482769021262,5.0,27.55189187069956,13.94961127132367,0.2
34,Cameroon,,2020-03-31,0.1,0.0,15.0,0.5,0.1955042004076772,2.5703063591717967,3.2446633766577717,2.287702664974821,3.498989813029766,226.96897926926613,19.100998967077352,1.2284747876026785
35,Canada,,2020-03-12,1.5,6.532572577573636,15.0,0.02006561962100017,0.013807926385787204,4.9997572366235925,4.116225316059364,0.002711297092824932,3.2547825884903983,237.38735246619956,1.75099574409021,0.6707342438707389
36,Cayman Islands,,2020-05-21,0.1,99.96942666842862,2.016113524358834,0.4557477409267603,0.01030004822051595,4.996080736718242,0.001,0.8884980317318033,5.0,152.692561869912,66.02687469646231,0.2750188508943792
37,Central African Republic,,2020-05-05,1.4070693115475472,4.482142627807753,15.0,0.4809565086198082,0.058252103821044766,1.7463685398456619,1.988486852595252,0.0081338898297265,0.7723438464523085,90.71550480109391,9.558728466328196,0.3787795148708959
38,Chad,,2020-05-02,0.18525229285462333,3.3422810978601554,15.0,0.44873522099095586,0.25,2.970687261998642,3.9347152035167374,0.001,0.5633227545636075,220.4997459873805,16.598800621157416,0.8069485473939434
39,Chile,,2020-03-17,0.6760112999235276,9.684705560286226,11.241167432807261,0.1717153207803131,0.24980328574383026,0.5413548422275707,4.614111010702939,1.3741072828764407,2.9989298110130846,98.73437890044016,3.7864304334631016,0.632409986428888
40,China,,2020-01-19,1.5,8.125923257427507,15.0,0.11941958706628393,0.25,3.91281593704533,5.0,0.28534654234992624,3.3767896602799983,276.08934863049933,11.62059944166541,2.0
41,Colombia,,2020-03-20,1.4997491190745382,2.3395076826242427,15.0,0.37273591242189313,0.19741162442414084,1.9084418082522434,4.475179603830197,0.0011671126876059308,4.999848946955867,86.59747538057509,26.579124293017404,0.9807675157032253
42,Comoros,,2020-06-13,0.6006148854167467,3.085908471449384,15.0,0.03605488776024244,0.13830494946871674,2.351162509362066,2.521420979308545,0.0010022643330922963,4.95732873098077,287.3686290853601,19.883693443678318,0.35636285445082055
43,Congo,,2020-04-15,0.1,0.0,15.0,0.23050771017616573,0.24994185966163285,-0.1992956772206829,4.890750542585791,0.34920540882175166,0.08709951257472337,197.40483404942574,22.820063958819212,0.2070900695126872
44,Cook Islands,,2022-03-06,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
45,Costa Rica,,2020-03-22,0.1,12.318626100209741,1.0,0.1256501870418717,0.02978799468952371,4.9995066732923945,1.7794563751927408,0.03741156045805142,4.999320059211554,10.140201258471539,0.9680595934114734,1.6880776599975422
46,Croatia,,2020-03-20,0.21707828277286398,99.99966297233628,11.165292685709066,0.410883954361261,0.07453972976884504,2.5057933889526733,5.0,1.1451524482777895,5.0,246.7868316234216,78.49579808053986,0.9956088984340524
47,Cuba,,2020-03-29,0.44581300652563277,58.52606410361361,11.28791925816655,0.47251695782347053,0.11671019580203577,4.999941691346895,0.23788657839476707,0.33531015825823496,3.916782621974461,275.37983669721086,7.708608861520423,1.9992901597686947
48,Curacao,,2020-09-09,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
49,Cyprus,,2020-03-24,1.429678729815485,3.909289851931411,15.0,0.020020805470250935,0.03413941840163189,4.999889318522209,4.852220758831995,0.004081087595197017,0.34504497305990167,244.26999132501112,12.471548135921216,0.23688380109763973
50,Czechia,,2020-03-13,0.37425951076135,99.92662489471874,14.989953353367241,0.5,0.25,5.0,3.3209478575556983,1.6319657113652173,4.9994365869046895,212.81924439811831,66.4345244270822,1.3323395682536565
51,Cote d'Ivoire,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
