,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
0,Bolivia,,2020-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1,Brunei,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2,Cote d'Ivoire,,2020-03-25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
3,Curacao,,2020-09-09,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4,Democratic Republic of Congo,,2020-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
5,Anguilla,,2021-05-12,0.1,-193.8627886814412,13.801372335054687,0.12723853401935661,0.12369100900081738,3.809272912389032,0.001,0.001,1.9546092821181524,200.10218250549616,20.441962631969936,0.2
6,Aruba,,2020-05-06,0.1,-195.3259948957234,12.406533020217129,0.06142708240368886,0.2395273820995003,0.485332629703149,0.001,0.001,3.910606457933085,119.49115797853165,9.353549297954464,0.2
7,Australia,Northern Territory,2021-02-05,1.499943067355803,-197.75387112568217,1.0000107103567515,0.5,0.25,0.01564564235967423,0.053046548946279644,0.020626787972500938,0.2802295854209279,107.15567996984936,99.99999919432896,0.20000000410725746
8,Dominica,,2021-01-07,0.1,-199.81500135463543,14.9979914804619,0.3648901803064139,0.25,4.943674450384551,0.1720500809588432,0.03326972052577501,3.6803397857012854,208.1545091624066,23.645825786751978,0.374802915919151
9,Australia,Tasmania,2020-04-09,0.1,-199.99960037218415,14.999682812840756,0.4300395073007532,0.24974411406428043,4.999986678023795,2.420080025696431,0.36186979207089864,3.7242371960364338,231.02896926586277,0.8904819459837,0.39580486889512506
10,Barbados,,2020-07-13,1.5,-199.01673689347695,1.5286359722762481,0.02006184761474127,0.011362528826064313,2.217198271128314,0.02280652657918163,0.032689948759397666,5.0,122.8169368704766,53.85349552947695,0.34753482597214136
11,British Virgin Islands,,2021-01-06,1.4970002209458153,-121.18328934259868,1.4021155582426603,0.49987523962613617,0.24961714642669666,2.5374254932654687,0.36605685776321917,0.13295798530151737,0.7078406896563731,93.47544846380805,50.54051729151093,0.2
12,Bermuda,,2020-04-27,1.5,-199.98533887557159,1.3761122325059145,0.47202739531723215,0.24977563023363122,0.8723899995638013,0.2179420001006788,0.04968703535772587,0.007006925548893779,114.31118507879273,79.20911581920997,0.37774046205444256
13,Austria,,2020-03-10,0.1,-200.0,15.0,0.06724355546481331,0.07091226073662692,4.999933114865811,5.0,1.474024872216041,2.2410194363855673,272.54137032710673,33.03827859198032,2.0
14,Bhutan,,2020-07-29,0.3070705926206571,-190.96707448447,7.864766851036431,0.5,0.026479556316943497,1.3710469135910688,0.38845417497053913,0.001,4.282424672430266,70.36344921805598,51.89970953296442,0.20039878261640762
15,Ecuador,,2020-03-18,0.8753839496545405,3.3510293305456287,15.0,0.15842202516959875,0.24986386647865894,4.999825816832251,5.0,0.40307507187871006,4.969395767868495,99.85922197182185,0.31972539358469587,2.0
16,Andorra,,2020-03-22,0.1,-199.99995866505697,14.99999328512215,0.35003793555118934,0.25,4.999991642752698,1.2115064988885247,0.39015192066691246,4.175593221530036,281.97927418540723,31.396078641782232,1.9991645828626874
17,Benin,,2020-05-10,0.1,-199.99863617117316,14.999934117294368,0.31763635756113123,0.2499959558768418,-0.19988910423401973,0.2298017840068911,0.1980056904726675,3.623625327304522,172.61272842092887,17.431001867324007,0.7559465144960495
18,Australia,Australian Capital Territory,2020-04-10,1.4898506906250633,-0.6109458978829663,1.0001121680027494,0.49999996820890313,0.25,4.021770437420705,0.022934371291745012,0.001,4.995525147221586,130.8387388283496,27.88677347017218,0.2
19,Cyprus,,2020-03-24,1.4308456881538347,3.9049918812040794,15.0,0.020004930590001,0.03251879670846183,4.999890950198128,4.48618311088147,0.004445086685949706,4.464659083352675,254.11329294207815,4.454447988971159,0.25164843156402084
20,Bahrain,,2020-03-10,1.248540827077606,-81.92804933828712,6.522265192696065,0.2418039644502263,0.22147897231266406,2.0851213568631057,0.001,1.8875255458754907,4.9385565050511815,20.449933600589787,7.0235737466052965,0.5614287117162965
21,Belgium,,2020-03-06,1.3491663199810344,3.090163322366717,3.96397284457368,0.3390117638661216,0.0848701045061053,4.493417607651436,4.308855006854709,0.9954610364167804,0.7806573816221101,13.41262697823015,3.654679469068506,0.9215532681057259
22,Canada,,2020-03-12,1.5,6.53259374797215,15.0,0.02032358789646584,0.011671283706624192,4.999969106276209,4.120310486400189,0.002740386933548189,3.8684781817129856,256.7688482707324,16.73308137819911,0.6833170500826943
23,Bahamas,,2020-05-30,0.1,-199.99971784851672,15.0,0.3737373917957751,0.034824523362596775,3.7382515203806737,0.06364764502342486,0.012658590672655555,0.0,133.248731523535,19.469415032990455,0.39361416228623636
24,Congo,,2020-04-15,0.1,-199.9998296345345,14.999992326307387,0.3276129057015334,0.25,4.999870798302601,0.6053658485633712,0.03257624298962751,2.596117440513739,28.613960073804492,0.6028080875777476,1.7252667636114738
25,Bulgaria,,2020-03-22,0.1241999938293138,-67.11323755627836,4.340420341211687,0.4638586505101263,0.19570653494144508,0.43258088432403397,0.46426388075892583,0.18238280539670487,2.7729286709897742,9.78996049821939,32.32203426606282,1.9999667921673654
26,Antigua and Barbuda,,2020-09-28,0.1,-13.426257084245668,14.993945834334074,0.2785034524647493,0.24660807511676816,-0.1443777256817139,0.6865663080875268,0.001,3.336396437887309,184.23851620904202,5.455598578885306,0.2
27,Cameroon,,2020-03-31,0.1,-199.99980257622516,15.0,0.10714665087783147,0.01,5.0,2.234606918003879,1.3271492899127264,3.909455934814698,267.4746565247817,22.528507117147363,2.0
28,Cambodia,,2020-03-29,1.5,-141.83696596015946,7.9554548941533945,0.020734839152852635,0.01,4.9109880836558455,0.001,0.5396328205433946,5.0,125.06925505939695,47.618717980723055,0.20001895706419345
29,Chad,,2020-05-02,0.18278542422734495,3.377567924398013,15.0,0.10436819215284447,0.01,1.6736262344856736,2.8958355523841623,0.001,0.39679607931110095,139.0028915175315,3.2779505609856927,1.077896007420911
30,Canada,Nova Scotia,2020-03-28,0.25763980196038405,13.446847927741373,6.714824126623313,0.02,0.023253276265793283,4.999988438167431,1.8459648322743625,0.6193240972873477,1.1755185105585968,93.32126286212014,77.33976810541685,0.6381549058265813
31,Albania,,2020-03-25,1.4999793840460767,-78.76235224891161,1.9580648362564503,0.24690014899251334,0.14612536657737488,4.638720247892823,0.3423954228882157,0.5655964910553648,2.4827071367304736,24.52120300253985,9.575157910689711,1.4318304832060105
32,Afghanistan,,2020-03-30,1.5,-64.3048705382302,1.0,0.3824165414618224,0.25,3.385036565031271,4.292163290415264,0.7208428509930084,1.0177066608855447,215.16858388028749,96.1313704350478,0.6095749507914615
33,Australia,South Australia,2020-03-23,0.1,-199.99984172889262,15.0,0.2868945913100231,0.01,-0.19990625495092595,1.0715304991518986,0.25944866045704784,2.59234119311854,251.13390181179466,4.875530503654167,1.9441842464023147
34,Canada,New Brunswick,2020-04-06,0.1,-199.99358090668593,14.996692804802061,0.49993596949962765,0.24928796112188517,-0.13717465441988788,0.16857512982081754,0.21596760190082934,1.9449189647178147,275.97773571282096,45.14310459225473,0.5176979285243594
35,Canada,Quebec,2020-03-17,1.5,1.9303496729975618,15.0,0.5,0.25,1.3782165646916353,5.0,0.22935717916759624,0.34106773465013956,0.001016612041393856,20.274346301775555,2.0
36,Australia,Queensland,2020-03-19,1.3862744343808722,-186.59828969970397,5.070598094129659,0.3569948190038121,0.12238888358210744,4.385258575804267,3.086589011951262,0.015552254573275382,4.162606134599937,290.07212540461046,92.83668942518516,1.7734484086814384
37,Armenia,,2020-03-19,0.7095758042143941,7.111763876135808,15.0,0.16995738730798282,0.24997410120266192,4.236673507282056,0.001,3.5820087746137452,0.5513460429211632,286.4835672533584,4.422370534394053,0.20000055299112368
38,Czechia,,2020-03-13,1.4206069960352046,-59.03815413407381,7.414209551053058,0.5,0.2217654811150887,4.572582842330844,4.771440139677945,1.6744245450163902,3.497120912948407,185.95368805025302,90.90935967387603,1.1285141355277322
39,Bangladesh,,2020-04-06,0.8208373993926925,8.42038113481455,10.183038688480783,0.4196193576000699,0.25,5.0,5.0,1.3429853881878087,2.247291026926413,268.96897585707666,30.826639010333203,0.7658771447478199
40,Belarus,,2020-03-31,1.2221658875596983,8.590242546853247,15.0,0.02,0.025659822670659905,3.1723346977309355,0.002316760792511148,1.7977300198340436,2.2815607429656666,294.5123530179262,33.847483092420454,0.4456438202025026
41,Iran,,2020-02-27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
42,Canada,Prince Edward Island,2021-01-07,1.382743884352301,-47.485462442408966,8.748638537640543,0.02879609860270994,0.23902192025246277,1.866808699466161,0.042024946367421295,0.0012698823673474172,2.496471670628017,92.79845486090649,95.76173377723178,0.20007270058642257
43,China,,2020-01-19,0.501433432712671,7.819757422037789,12.269878809431416,0.4999921244542573,0.10478505573207443,2.1655020080907352,4.999794694982559,0.002690281717414004,4.999996690711401,3.5273825809998813,3.185714710881356,1.9998192407861914
44,Brazil,,2020-03-16,1.5,5.078072718591331,15.0,0.41029517073029453,0.055761798517821974,1.5487305590679394,4.9999076941742375,0.001,1.0930851165386457,57.19257317859615,0.8419224965743751,1.4211800352803072
45,Canada,Ontario,2020-03-10,0.3679326418845855,0.9360958767437445,10.661730646048088,0.4543216511635731,0.25,4.915366383712851,3.6731088591468124,1.083439100910517,2.3641432521984402,57.47675307718339,77.47499114300959,0.8641419987764484
46,Chile,,2020-03-17,0.23792623005482955,-138.1220841137274,1.0270705039009531,0.3667384543256001,0.2490350346451065,4.313991668987588,4.868969573288572,0.348031951151427,4.999589236441145,0.37312122262460207,9.958359388478883,0.9242025512307346
47,Estonia,,2020-03-15,1.2317721945586766,-8.21596139277781,5.431115544300811,0.27750174613088013,0.09759428254979326,3.2089478958555553,2.215613094548486,0.8232848610235293,3.216456859094487,47.52242641368402,15.852961236309305,0.36836256931035266
48,Cayman Islands,,2020-05-21,1.5,-199.9972048260713,14.999883135753798,0.42930159638787846,0.249696672821489,4.9972217331917985,0.001,0.8323771440054044,5.0,261.3300739437701,97.49863901460054,0.2906469787537959
49,Botswana,,2020-06-25,0.933095884678853,-61.30467121997797,4.692331971090525,0.02,0.016471316558938832,5.0,2.2895151595904055,0.001,0.6305158397675026,264.18908263978244,32.327894143498845,0.928677149440543
50,Cuba,,2020-03-29,0.5502521347300756,10.134217093633412,15.0,0.3168766647623122,0.016182968057438147,3.598453561686422,0.0014019494531314523,3.4933488430815314,1.8509729302398394,194.55719554105042,20.295015249541514,0.21032929611984316
51,American Samoa,,2022-03-01,1.248341358207753,-5.414871786653109,14.999934388843144,0.372294897841565,0.24910685686334264,1.078164446426193,4.76925313640083,0.001,4.999766304749006,11.271525071903053,0.1796625316246633,0.690670547166193
52,Belize,,2020-08-08,1.4998349769071744,-57.957186819889166,1.164186163766408,0.02,0.0175449180176291,5.0,2.2257725122557623,0.0011280647352112838,3.5334333347164915,264.64553883949145,3.295998879750036,1.999601441467924
53,Cook Islands,,2022-03-06,0.40167686025065397,72.09065833449745,1.0,0.02,0.01,4.999721443958556,2.5508983723272616,0.001,3.801730956091559,199.35521452846035,23.231029639069824,1.161123147255056
54,Kosovo,,2020-03-30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
55,Australia,New South Wales,2020-03-14,0.3291015068451269,-158.47720484205456,1.8074302956015562,0.02,0.017929906402199602,3.2547655375996314,2.78663612333171,0.7258444199835717,3.77151039563153,0.00038825068686604075,19.147454228422895,0.9313373324166695
56,Croatia,,2020-03-20,0.16976089977165615,99.99869075313048,14.99945479433324,0.22990048502530083,0.25,0.06527720547940315,2.482415009490432,0.5500889096653895,5.0,182.00810027381746,85.38629408831585,1.9989207027353157
57,Laos,,2021-04-23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
58,Algeria,,2020-03-22,0.36966363644231787,99.99933794668945,14.999721214404547,0.13484892203432702,0.11076330663727137,2.178113415243348,0.0010160439529727698,4.645628738423962,4.9905177403433605,167.16639902734988,99.99913360587539,0.2139008979300637
59,Denmark,,2020-03-11,0.6494819676140785,-199.9999191854325,14.999969685810148,0.22748250426383257,0.01,-0.2,1.135894070514848,1.2706170937021704,5.0,8.8282811740236,0.9694255713933643,1.7694689938745793
60,Fiji,,2021-04-26,1.3652768527830006,-183.73576406055466,4.685252956557122,0.1533366395794946,0.055822664070646955,1.9451174469116026,0.001,0.24904861080172683,4.983802371495104,178.07676341204947,81.36956944054026,0.40144131199156236
61,Angola,,2020-06-11,1.224016736282747,-31.138527747212986,3.760496326793011,0.335030823502323,0.24995091545045925,4.15483771866147,0.0026304080068317633,1.2068715107882728,3.827717751842,24.630194659249174,9.52047893521371,0.28033091788771364
62,Canada,British Columbia,2020-03-16,0.1,75.22921667749883,1.0,0.02,0.014105987055962603,5.0,4.694438723210967,0.001,5.0,121.0948642757516,39.99582048837311,1.8017616639134457
63,Gibraltar,,2020-04-08,0.1,-199.99929101087477,14.999967271675686,0.02,0.24994335995135963,4.416952738839644,0.12154379142857845,0.05721241449140352,2.0897093470557593,178.86432427963263,0.39898379938447304,1.7905195073882088
64,Equatorial Guinea,,2020-04-21,0.6539550110777047,6.0500671493459155,15.0,0.0200572689537223,0.023831543670931314,4.999995823768503,0.0027753597969588637,2.1895752337597023,3.805982749831905,257.2242606520449,29.04256920303201,0.23240738660228397
