,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
0,Thailand,,2023-07-12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1,El Salvador,,2023-04-05,0.1,-164.051107896914,15.0,0.02,0.01,1.8105984773484223,0.001,0.001,1.1003992650657892,171.48033240437508,1.8711335365883088,0.2
2,Ireland,,2022-08-09,1.5,-13.696002611774526,1.6437036897668618,0.12516666529259415,0.13364306640244897,0.8794621621378163,0.05391858787402044,0.14151825355328576,1.2216175339926554,219.85115500805048,53.15849596451099,0.6647251324655623
3,United States,,2022-06-15,0.3499215809029477,50.811103240786785,1.0017341132495172,0.1784821014672014,0.1399194797215774,-0.1778608160809632,4.972569290212807,0.00824871698450137,3.8227914226612896,233.42577525052025,11.53187940925668,0.32956101752367783
4,Switzerland,,2022-07-02,0.3493920165721749,6.087972257668325,15.0,0.0236340146782196,0.07630123302556031,4.612466289103002,2.8079488561194244,0.0012174639900284943,0.6611640854777473,71.63989373126576,66.0585951844069,0.2
5,Ghana,,2022-09-30,1.4281169538469958,5.5549361822882455,13.1073892219467,0.2679306900668262,0.010000050158101388,-0.2,0.005286710086129365,0.0011166838341317145,1.1003992650657892,171.48033240437508,1.8711335365883088,0.2000000454330242
6,Spain,,2022-06-01,1.4633374030723714,5.12946060779693,3.5287642316330547,0.06171497818667416,0.07976965393053428,2.971905204110334,1.6104340313171455,0.04336358915936162,4.187641803355088,282.8109126523653,56.48848546461145,0.20778469233101507
7,Costa Rica,,2023-01-18,0.1,-199.9977622681,15.0,0.4471023583107009,0.1985381964880794,0.51811171433413,0.510779506680947,0.8538750889892786,3.3274936926314354,220.76978519495876,8.375664980765299,0.2
8,Mexico,,2022-08-10,0.796370083677889,1.2658022474605488,2.119464839653819,0.0995350032486908,0.20532045830015316,1.2473693758199322,0.001,0.6801740659596486,4.195315040139594,193.86285991702775,39.76580660126715,0.8321900525489795
9,Democratic Republic of Congo,,2022-08-12,0.7059424233024292,8.352000296225212,15.0,0.13950270702295522,0.13698302258675027,-0.18505004259264127,0.15411308232643298,0.0010067972198587562,3.1636335792638874,107.78534583117073,12.381716509387223,0.3374802160168103
10,Austria,,2022-07-26,0.29371160210126857,11.935637035435988,15.0,0.14176272865746317,0.15791667874196277,4.598047940542532,2.3573526404344456,0.0028963517594401216,3.6294694315625087,223.67507948052537,5.915672010545256,0.2090166947396387
11,Japan,,2023-04-12,0.9191524484022009,7.186360519423749,15.0,0.3570106126745354,0.03998710693286006,2.8536084334391876,0.20183929094520658,0.001,0.745082672110982,268.26397916274937,6.582152356003126,0.20012146937547837
12,Peru,,2022-07-20,0.36970863796130243,96.4800713837455,9.853659314025947,0.43917613519169957,0.23536673477990605,0.020687389464247724,0.002457458611571657,1.301465943868377,4.545567749708349,197.47193254489332,55.58720866048866,0.31561142176079954
13,Australia,,2022-08-23,0.3717900384192819,-199.99800099072493,15.0,0.02,0.01,3.095106458944952,2.3170441656103122,0.001,5.0,24.303016246792026,0.2653940140505767,0.2
14,South Korea,,2023-06-05,0.9535934294375985,10.883418158700923,15.0,0.272734004040847,0.09293200463405774,-0.19924179874074427,0.06034264442816572,0.001124231638398726,2.468579330659395,239.0475680550436,3.3271067212674326,0.20004676007417443
15,Nigeria,,2022-07-08,0.6451172465591427,-48.64370934586031,6.706360079162811,0.25709569260941073,0.09667693445295819,0.9233086031250326,0.06850363773362778,0.13106771839610534,4.999999574950867,211.10551114767978,100.0,1.2386278454062054
